_start,_end,_type,name,_id_new,_start_new,_end_new
123,6,Content_Of,知识点6.2,,323,206
124,6,Content_Of,知识点6.3,,324,206
125,6,Content_Of,知识点6.4,,325,206
126,6,Content_Of,知识点6.5,,326,206
127,6,Content_Of,知识点6.6,,327,206
128,6,Content_Of,知识点6.7,,328,206
135,127,Knowledge_Of,知识点6.6.1,,335,327
136,128,Knowledge_Of,知识点6.7.1,,336,328
137,6,Content_Of,知识点6.8,,337,206
138,6,Content_Of,知识点6.9,,338,206
129,122,Knowledge_Of,知识点6.1.1,,329,322
130,122,Knowledge_Of,知识点6.1.2,,330,322
131,123,Knowledge_Of,知识点6.2.1,,331,323
132,124,Knowledge_Of,知识点6.3.1,,332,324
133,125,Knowledge_Of,知识点6.4.1,,333,325
139,126,Knowledge_Of,知识点6.5.1,,339,326
140,137,Knowledge_Of,知识点6.8.1,,340,337
141,138,Knowledge_Of,知识点6.9.1,,341,338
